area_name,sa4_code,sa4_name,sa2_main,sa2_name,area_sqkm,poi_count,z_poi,score,median_total_income_2022
area_2,117,Sydney - City and Inner South,117011321,Botany,3.4307,36,-0.3458478884712776,0.4143896581137782,69628
area_2,117,Sydney - City and Inner South,117011634,Eastlakes,3.1149,36,-0.3458478884712776,0.4143896581137782,50611
area_2,117,Sydney - City and Inner South,117031643,Rosebery - Beaconsfield,1.6423,23,-0.5057854495429751,0.37618203303777575,71566
area_2,117,Sydney - City and Inner South,117031647,Waterloo,1.1339,21,-0.5303912281693901,0.37042564489665225,71820
area_2,117,Sydney - City and Inner South,117031646,Ultimo,0.5588,17,-0.5796027854222201,0.359023997854858,40215
area_2,117,Sydney - City and Inner South,117011324,Port Botany Industrial,2.8044,12,-0.6411172319882577,0.3449940312599048,84945
area_2,117,Sydney - City and Inner South,117031639,Chippendale,0.4642,11,-0.6534201213014652,0.3422192352066443,48019
area_2,117,Sydney - City and Inner South,117031648,Zetland,0.8047,11,-0.6534201213014652,0.3422192352066443,67414
area_2,117,Sydney - City and Inner South,117011320,Banksmeadow,3.9384,4,-0.7395403464939176,0.3231046655039135,81419
area_3,118,Sydney - Eastern Suburbs,118011346,Rose Bay - Vaucluse - Watsons Bay,5.1368,141,2.8717714659252853,0.9464332277190236,80724
area_3,118,Sydney - Eastern Suburbs,118021652,Malabar - La Perouse,8.4115,119,2.153828599443964,0.8960260034395057,66000
area_3,118,Sydney - Eastern Suburbs,118011345,Paddington - Moore Park,3.725,85,1.0442805330637401,0.7396750929934128,88354
area_3,118,Sydney - Eastern Suburbs,118011341,Bondi Junction - Waverly,2.5235,77,0.783210399797805,0.6863716157944115,71940
area_3,118,Sydney - Eastern Suburbs,118021651,Coogee - Clovelly,2.7034,66,0.42423896655714444,0.6044971510528195,84396
area_3,118,Sydney - Eastern Suburbs,118011340,Bondi Beach - North Bondi,2.4604,62,0.2937038999241769,0.5729026661794395,77502
area_3,118,Sydney - Eastern Suburbs,118021570,Randwick - South,3.3725,51,-0.06526753331648376,0.4836889064953643,71320
area_3,118,Sydney - Eastern Suburbs,118021653,Matraville - Chifley,3.4138,50,-0.09790129997472563,0.47554420526905483,60043
area_3,118,Sydney - Eastern Suburbs,118011649,Bellevue Hill,3.1556,46,-0.22843636660769315,0.4431379636852303,86208
area_3,118,Sydney - Eastern Suburbs,118011650,Double Bay - Darling Point,1.5591,43,-0.32633766658241875,0.4191319912004554,88761
area_3,118,Sydney - Eastern Suburbs,118021569,Randwick - North,1.9356,43,-0.32633766658241875,0.4191319912004554,78869
area_3,118,Sydney - Eastern Suburbs,118021567,Maroubra - South,2.065,42,-0.35897143324066066,0.41120857573268954,63854
area_3,118,Sydney - Eastern Suburbs,118011339,Bondi - Tamarama - Bronte,2.4962,41,-0.3916051998989025,0.4033309413024624,77711
area_3,118,Sydney - Eastern Suburbs,118021564,Kensington (NSW),2.6423,41,-0.3916051998989025,0.4033309413024624,58128
area_3,118,Sydney - Eastern Suburbs,118011347,Woollahra,1.2805,34,-0.6200415665065957,0.3497719978322282,89462
area_3,118,Sydney - Eastern Suburbs,118021568,Maroubra - West,2.0464,30,-0.7505766331395632,0.3206956683341363,58512
area_3,118,Sydney - Eastern Suburbs,118021566,Maroubra - North,1.8112,29,-0.783210399797805,0.31362838420558853,68654
area_3,118,Sydney - Eastern Suburbs,118021654,South Coogee,1.1322,29,-0.783210399797805,0.31362838420558853,69178
area_3,118,Sydney - Eastern Suburbs,118011344,Dover Heights,1.8705,28,-0.815844166456047,0.3066465394067227,73151
area_3,118,Sydney - Eastern Suburbs,118021565,Kingsford,2.0141,17,-1.1748155996967076,0.2359856452985495,51671
area_1,120,Sydney - Inner West,120011385,Drummoyne - Rodd Point,3.7047,267,2.607473249741563,0.9313409993671848,78046
area_1,120,Sydney - Inner West,120021389,Lilyfield - Rozelle,3.6039,235,2.133130525370602,0.8940818334846162,88831
area_1,120,Sydney - Inner West,120021675,Leichhardt,2.9838,192,1.495732489497123,0.8169371293443725,82298
area_1,120,Sydney - Inner West,120021387,Balmain,2.5815,152,0.9028040840334215,0.7115254017224231,91603
area_1,120,Sydney - Inner West,120031395,Haberfield - Summer Hill,3.4746,121,0.44328456979905284,0.6090413990786662,72150
area_1,120,Sydney - Inner West,120011383,Concord - Mortlake - Cabarita,6.3199,113,0.3246988887063126,0.5804689785473602,65979
area_1,120,Sydney - Inner West,120011386,Five Dock - Abbotsford,4.6202,89,-0.03105815457190827,0.49223608544212216,71985
area_1,120,Sydney - Inner West,120031678,Burwood (NSW),1.905,87,-0.06070457484509334,0.48482851497021234,40432
area_1,120,Sydney - Inner West,120031393,Croydon Park - Enfield,3.9711,79,-0.17929025593783363,0.4552971197348553,55440
area_1,120,Sydney - Inner West,120031396,Homebush,3.8432,63,-0.41646161812331417,0.3973637631020462,52860
area_1,120,Sydney - Inner West,120021674,Annandale (NSW),1.4885,58,-0.49057766880627685,0.37975749309340345,82894
area_1,120,Sydney - Inner West,120031677,Ashfield - South,2.1091,58,-0.49057766880627685,0.37975749309340345,54305
area_1,120,Sydney - Inner West,120011672,Concord West - North Strathfield,4.0969,57,-0.5054008789428694,0.3762722841749949,61377
area_1,120,Sydney - Inner West,120031681,Strathfield - West,3.9101,57,-0.5054008789428694,0.3762722841749949,62650
area_1,120,Sydney - Inner West,120031679,Croydon,2.5877,53,-0.5646937194892395,0.362462120717063,55750
area_1,120,Sydney - Inner West,120031680,Strathfield - East,2.5414,53,-0.5646937194892395,0.362462120717063,45500
area_1,120,Sydney - Inner West,120031394,Dulwich Hill - Lewisham,2.7016,49,-0.6239865600356097,0.348875314430572,73523
area_1,120,Sydney - Inner West,120031392,Canterbury (North) - Ashbury,3.0278,44,-0.6981026107185724,0.3322330376227714,59630
area_1,120,Sydney - Inner West,120031676,Ashfield - North,1.5609,32,-0.8759811323576828,0.2940112786967174,56987
area_1,120,Sydney - Inner West,120011673,Rhodes,1.006,31,-0.8908043424942753,0.29094386727230537,58540
area_1,120,Sydney - Inner West,120031576,Strathfield South,2.5112,23,-1.0093900235870157,0.2670992410933125,58257
area_4,125,Sydney - Parramatta,125041489,North Parramatta,7.0608,132,2.033667270940876,0.884286855498564,60817
area_4,125,Sydney - Parramatta,125021477,Ermington - Rydalmere,9.8655,119,1.6594454001016303,0.840163540570144,56306
