sa4_code,sa4_name,sa2_count,total_poi,mean_score,median_score,min_score,max_score
117,Sydney - City and Inner South,27,1731,0.4743318920612179,0.4475644794937279,0.3231046655039135,0.9725210352923424
118,Sydney - Eastern Suburbs,21,1113,0.48249980251438584,0.4191319912004554,0.2359856452985495,0.9464332277190236
120,Sydney - Inner West,21,1913,0.48301275047049813,0.37975749309340345,0.2670992410933125,0.9313409993671848
125,Sydney - Parramatta,34,2086,0.4996825755189385,0.5226220419961474,0.15712657076560402,0.884286855498564
