area_name,sa4_code,sa4_name,sa2_main,sa2_name,area_sqkm,poi_count,z_poi,score
area_2,117,Sydney - City and Inner South,117031639,Chippendale,0.4642,11,-0.6534201213014652,0.3422192352066443
area_2,117,Sydney - City and Inner South,117031648,Zetland,0.8047,11,-0.6534201213014652,0.3422192352066443
area_2,117,Sydney - City and Inner South,117011320,Banksmeadow,3.9384,4,-0.7395403464939176,0.3231046655039135
area_3,118,Sydney - Eastern Suburbs,118011346,Rose Bay - Vaucluse - Watsons Bay,5.1368,141,2.8717714659252853,0.9464332277190236
area_3,118,Sydney - Eastern Suburbs,118021652,Malabar - La Perouse,8.4115,119,2.153828599443964,0.8960260034395057
area_3,118,Sydney - Eastern Suburbs,118011345,Paddington - Moore Park,3.725,85,1.0442805330637401,0.7396750929934128
area_3,118,Sydney - Eastern Suburbs,118011341,Bondi Junction - Waverly,2.5235,77,0.783210399797805,0.6863716157944115
area_3,118,Sydney - Eastern Suburbs,118021651,Coogee - Clovelly,2.7034,66,0.42423896655714444,0.6044971510528195
area_3,118,Sydney - Eastern Suburbs,118011340,Bondi Beach - North Bondi,2.4604,62,0.2937038999241769,0.5729026661794395
area_3,118,Sydney - Eastern Suburbs,118021570,Randwick - South,3.3725,51,-0.06526753331648376,0.4836889064953643
area_3,118,Sydney - Eastern Suburbs,118021653,Matraville - Chifley,3.4138,50,-0.09790129997472563,0.47554420526905483
area_3,118,Sydney - Eastern Suburbs,118011649,Bellevue Hill,3.1556,46,-0.22843636660769315,0.4431379636852303
area_3,118,Sydney - Eastern Suburbs,118011650,Double Bay - Darling Point,1.5591,43,-0.32633766658241875,0.4191319912004554
area_3,118,Sydney - Eastern Suburbs,118021569,Randwick - North,1.9356,43,-0.32633766658241875,0.4191319912004554
area_3,118,Sydney - Eastern Suburbs,118021567,Maroubra - South,2.065,42,-0.35897143324066066,0.41120857573268954
area_3,118,Sydney - Eastern Suburbs,118011339,Bondi - Tamarama - Bronte,2.4962,41,-0.3916051998989025,0.4033309413024624
area_3,118,Sydney - Eastern Suburbs,118021564,Kensington (NSW),2.6423,41,-0.3916051998989025,0.4033309413024624
area_3,118,Sydney - Eastern Suburbs,118011342,Centennial Park,1.9786,39,-0.4568727332153863,0.38772796015250216
area_3,118,Sydney - Eastern Suburbs,118011347,Woollahra,1.2805,34,-0.6200415665065957,0.3497719978322282
area_3,118,Sydney - Eastern Suburbs,118021568,Maroubra - West,2.0464,30,-0.7505766331395632,0.3206956683341363
area_3,118,Sydney - Eastern Suburbs,118021566,Maroubra - North,1.8112,29,-0.783210399797805,0.31362838420558853
area_3,118,Sydney - Eastern Suburbs,118021654,South Coogee,1.1322,29,-0.783210399797805,0.31362838420558853
area_3,118,Sydney - Eastern Suburbs,118011344,Dover Heights,1.8705,28,-0.815844166456047,0.3066465394067227
area_3,118,Sydney - Eastern Suburbs,118021565,Kingsford,2.0141,17,-1.1748155996967076,0.2359856452985495
area_1,120,Sydney - Inner West,120011385,Drummoyne - Rodd Point,3.7047,267,2.607473249741563,0.9313409993671848
area_1,120,Sydney - Inner West,120021389,Lilyfield - Rozelle,3.6039,235,2.133130525370602,0.8940818334846162
area_1,120,Sydney - Inner West,120021675,Leichhardt,2.9838,192,1.495732489497123,0.8169371293443725
area_1,120,Sydney - Inner West,120021387,Balmain,2.5815,152,0.9028040840334215,0.7115254017224231
area_1,120,Sydney - Inner West,120031395,Haberfield - Summer Hill,3.4746,121,0.44328456979905284,0.6090413990786662
area_1,120,Sydney - Inner West,120011383,Concord - Mortlake - Cabarita,6.3199,113,0.3246988887063126,0.5804689785473602
area_1,120,Sydney - Inner West,120011386,Five Dock - Abbotsford,4.6202,89,-0.03105815457190827,0.49223608544212216
area_1,120,Sydney - Inner West,120031678,Burwood (NSW),1.905,87,-0.06070457484509334,0.48482851497021234
area_1,120,Sydney - Inner West,120031393,Croydon Park - Enfield,3.9711,79,-0.17929025593783363,0.4552971197348553
area_1,120,Sydney - Inner West,120031396,Homebush,3.8432,63,-0.41646161812331417,0.3973637631020462
area_1,120,Sydney - Inner West,120021674,Annandale (NSW),1.4885,58,-0.49057766880627685,0.37975749309340345
area_1,120,Sydney - Inner West,120031677,Ashfield - South,2.1091,58,-0.49057766880627685,0.37975749309340345
area_1,120,Sydney - Inner West,120011672,Concord West - North Strathfield,4.0969,57,-0.5054008789428694,0.3762722841749949
area_1,120,Sydney - Inner West,120031681,Strathfield - West,3.9101,57,-0.5054008789428694,0.3762722841749949
area_1,120,Sydney - Inner West,120031679,Croydon,2.5877,53,-0.5646937194892395,0.362462120717063
area_1,120,Sydney - Inner West,120031680,Strathfield - East,2.5414,53,-0.5646937194892395,0.362462120717063
area_1,120,Sydney - Inner West,120031394,Dulwich Hill - Lewisham,2.7016,49,-0.6239865600356097,0.348875314430572
area_1,120,Sydney - Inner West,120031392,Canterbury (North) - Ashbury,3.0278,44,-0.6981026107185724,0.3322330376227714
area_1,120,Sydney - Inner West,120031676,Ashfield - North,1.5609,32,-0.8759811323576828,0.2940112786967174
area_1,120,Sydney - Inner West,120011673,Rhodes,1.006,31,-0.8908043424942753,0.29094386727230537
area_1,120,Sydney - Inner West,120031576,Strathfield South,2.5112,23,-1.0093900235870157,0.2670992410933125
area_4,125,Sydney - Parramatta,125041489,North Parramatta,7.0608,132,2.033667270940876,0.884286855498564
area_4,125,Sydney - Parramatta,125021477,Ermington - Rydalmere,9.8655,119,1.6594454001016303,0.840163540570144
area_4,125,Sydney - Parramatta,125031714,Merrylands - Holroyd,4.9525,112,1.4579413158035752,0.8112176024467267
area_4,125,Sydney - Parramatta,125031481,Granville - Clyde,5.6086,105,1.2564372315055201,0.7784121873716955
area_4,125,Sydney - Parramatta,125041491,Northmead,5.9331,97,1.0261468494506,0.7361682006038158
area_4,125,Sydney - Parramatta,125031484,Guildford West - Merrylands West,5.4654,96,0.997360551693735,0.7305393152155701
area_4,125,Sydney - Parramatta,125011710,Wentworth Point - Sydney Olympic Park,7.3279,95,0.96857425393687,0.7248352251640147
area_4,125,Sydney - Parramatta,125041717,Parramatta - North,2.2343,94,0.939787956180005,0.7190568235629978
area_4,125,Sydney - Parramatta,125031483,Guildford - South Granville,6.7962,84,0.6519249786113548,0.6574441210006654
area_4,125,Sydney - Parramatta,125011586,Lidcombe,6.4036,83,0.6231386808544898,0.6509320555362638
area_4,125,Sydney - Parramatta,125041493,Toongabbie - Constitution Hill,7.4795,82,0.5943523830976248,0.6443631601633326
area_4,125,Sydney - Parramatta,125021478,Oatlands - Dundas Valley,6.0763,81,0.5655660853407598,0.637739444293194
area_4,125,Sydney - Parramatta,125031480,Fairfield - East,5.7115,79,0.5079934898270297,0.6243359839791058
area_4,125,Sydney - Parramatta,125041589,Wentworthville - Westmead,3.9355,74,0.36406200104270464,0.5900233731039347
area_4,125,Sydney - Parramatta,125031479,Chester Hill - Sefton,7.2676,71,0.2777031077721096,0.5689830204900607
area_4,125,Sydney - Parramatta,125011582,Auburn - Central,3.7326,68,0.19134421450151456,0.5476906357898178
area_4,125,Sydney - Parramatta,125041494,Winston Hills,4.3479,66,0.13377161898778453,0.5333931225269152
area_4,125,Sydney - Parramatta,125031715,Pemulwuy - Greystanes (North),7.3982,63,0.04741272571718948,0.5118509614653797
area_4,125,Sydney - Parramatta,125021712,Carlingford - West,6.0167,61,-0.010159869796540558,0.49746005439921803
area_4,125,Sydney - Parramatta,125031713,Greystanes - South,5.6504,50,-0.3268091451220557,0.4190172092415126
area_4,125,Sydney - Parramatta,125041588,Pendle Hill - Girraween,4.4615,50,-0.3268091451220557,0.4190172092415126
area_4,125,Sydney - Parramatta,125041719,Rosehill - Harris Park,4.8739,48,-0.3843817406357858,0.40507051071511996
area_4,125,Sydney - Parramatta,125021711,Carlingford - East,3.7288,47,-0.41316803839265076,0.39815272880584385
area_4,125,Sydney - Parramatta,125011709,Silverwater - Newington,3.934,37,-0.7010310159613009,0.3315836779724117
area_4,125,Sydney - Parramatta,125041490,North Rocks,5.3762,37,-0.7010310159613009,0.3315836779724117
area_4,125,Sydney - Parramatta,125011587,Regents Park,2.0325,32,-0.8449625047456261,0.3004906536318793
area_4,125,Sydney - Parramatta,125011584,Auburn - South,2.4313,22,-1.1328254823142763,0.24364004515410567
area_4,125,Sydney - Parramatta,125011583,Auburn - North,2.0966,21,-1.1616117800711412,0.23837453968826572
area_4,125,Sydney - Parramatta,125041718,Parramatta - South,1.3881,21,-1.1616117800711412,0.23837453968826572
area_4,125,Sydney - Parramatta,125011585,Berala,2.0865,20,-1.1903980778280063,0.23318774742850978
area_4,125,Sydney - Parramatta,125031716,South Wentworthville,1.7661,16,-1.3055432688554662,0.21323357210869942
area_4,125,Sydney - Parramatta,125031486,Smithfield Industrial,4.3017,11,-1.4494747576397913,0.19008241448675892
area_4,125,Sydney - Parramatta,125011475,Rookwood Cemetery,3.015,9,-1.5070473531535213,0.181376787561593
area_4,125,Sydney - Parramatta,125031487,Yennora Industrial,2.0787,3,-1.6797651396947115,0.15712657076560402
