ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,,5.9,5.9,6.1,6.2,6.1,6.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,,6.1,6.1,6.0,5.8,5.6,5.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,,5.4,5.5,5.6,5.7,5.6,5.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,,4.8,4.8,4.9,4.9,4.9,4.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,,4.2,4.3,4.4,4.3,4.2,4.2,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,,2.9,3.0,3.1,3.3,3.4,3.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,,1.9,2.0,2.0,2.1,2.1,2.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,,1.6,1.7,1.7,1.8,1.8,1.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,,238785.0,235778.0,232193.0,232951.0,231819.0,229885.0,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,,247598.0,246598.0,245467.0,243580.0,242236.0,240983.0,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,,237747.0,243524.0,246768.0,248854.0,250354.0,251615.0,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,,227336.0,224626.0,222554.0,230886.0,241399.0,248781.0,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,266364.0,258376.0,243734.0,245736.0,260855.0,268272.0,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,,298821.0,294737.0,281425.0,279539.0,294930.0,305629.0,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,,299912.0,302029.0,300607.0,301289.0,309923.0,315231.0,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,,283729.0,290456.0,293027.0,295571.0,300792.0,305920.0,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,,254373.0,257525.0,263153.0,269356.0,278747.0,287072.0,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,266926.0,266456.0,260715.0,255656.0,254226.0,255723.0,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,,243384.0,246041.0,252243.0,258756.0,263151.0,264780.0,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,252267.0,253282.0,247965.0,243280.0,239775.0,239652.0,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,,230159.0,237116.0,240317.0,243142.0,246118.0,248102.0,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,,202514.0,208404.0,211037.0,214574.0,218981.0,223747.0,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,,174630.0,182150.0,187796.0,187660.0,190254.0,193511.0,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,,124323.0,130194.0,135708.0,145664.0,154534.0,161215.0,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,,92119.0,94962.0,97173.0,99280.0,101563.0,106078.0,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,,106309.0,107646.0,109787.0,111167.0,112510.0,115257.0,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,,5.9,5.8,5.7,5.7,5.5,5.4,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,,6.1,6.0,6.0,5.9,5.8,5.7,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,,5.9,6.0,6.1,6.1,6.0,5.9,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,,5.6,5.5,5.5,5.6,5.8,5.8,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,6.6,6.3,6.0,6.0,6.2,6.3,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,,7.4,7.2,6.9,6.8,7.0,7.2,
